Names,Reviews,Release Date,Genre
VA-11 Hall-A: Cyberpunk Bartender Action,97%,"Jun 21, 2016",Cyberpunk
"Hot Dogs, Horseshoes & Hand Grenades",97%,"Apr 5, 2016",Early Access
The Room Three,96%,"Nov 13, 2018",Puzzle
Oxygen Not Included,95%,"Jul 30, 2019",Colony Sim
ABE VR,61%,"Jun 23, 2016",Adventure
Riverbond,75%,"Jun 9, 2019",Action
,,,
Katana ZERO,98%,"Apr 18, 2019",Platformer
MANDAGON,94%,"Aug 4, 2016",Free to Play
Pyre,90%,"Jul 25, 2017",Indie
Speed Brawl,82%,"Sep 18, 2018",Action
Event[0],78%,"Sep 14, 2016",Adventure
Absolver,68%,"Aug 29, 2017",Fighting
Manifold Garden,,October 2020,Indie
Quantum Break,85%,"Sep 29, 2016",Action
Titan Quest Anniversary Edition,90%,"Aug 31, 2016",RPG
Beholder,90%,"Nov 9, 2016",Indie
Human: Fall Flat,93%,"Jul 22, 2016",Funny
Floppy Heroes,93%,"Sep 13, 2016",Action
Prey,88%,"May 4, 2017",Sci-fi
The Bunker,73%,"Sep 20, 2016",Adventure
Night in the Woods,96%,"Feb 21, 2017",Story Rich
God's Trigger,80%,"Apr 18, 2019",Action
Wolfpack,93%,"Mar 15, 2019",Early Access
,,,
RiME,90%,"May 26, 2017",Adventure
Planet Coaster,88%,"Nov 17, 2016",Simulation
The Turing Test,86%,"Aug 30, 2016",Puzzle
What Remains of Edith Finch,95%,"Apr 24, 2017",Story Rich
911 Operator,85%,"Feb 24, 2017",Simulation
Manual Samuel,82%,"Oct 14, 2016",Dark Humor
Totally Accurate Battle Simulator,96%,"Apr 1, 2019",Early Access
Streets of Rogue,96%,"Jul 12, 2019",Roguelite
A Duel Hand Disaster: Trackher,,"Aug 28, 2017",Early Access
theHunter: Call of the Wild™,81%,"Feb 16, 2017",Hunting
World to the West,82%,"May 5, 2017",Indie
Wandersong,97%,"Sep 27, 2018",Music
Life is Strange 2,86%,"Sep 26, 2018",Story Rich
Vampire: The Masquerade® - Bloodlines™ 2,,2020,RPG
Dying Light 2,,Spring 2020,Action
Two Point Hospital,89%,"Aug 29, 2018",Medical Sim
Guts and Glory,81%,"Jul 19, 2018",Action
Lara Croft GO,92%,"Dec 4, 2016",Puzzle
Sally Face,96%,"Dec 14, 2016",Story Rich
Puyo Puyo™Tetris®,82%,"Feb 27, 2018",Puzzle
Primordian,77%,"Jan 19, 2018",Early Access
RAGE 2,59%,"May 14, 2019",Action
Warhammer: Vermintide 2,76%,"Mar 8, 2018",Co-op
,,,
Deathgarden™: BLOODHARVEST,69%,"Aug 14, 2018",Multiplayer
My Friend Pedro,96%,"Jun 20, 2019",Action
Gorogoa,97%,"Dec 14, 2017",Puzzle
Stories Untold,87%,"Feb 27, 2017",Adventure
Opus Magnum,97%,"Dec 7, 2017",Puzzle
Zup! 2,95%,"Dec 5, 2016",Indie
Ion Fury,99%,"Aug 15, 2019",FPS
LOST EMBER,91%,"Nov 22, 2019",Adventure
Keen - One Girl Army,,Q3 2019,Indie
Mable & The Wood,70%,"Aug 23, 2019",Adventure
SteamWorld Dig 2,95%,"Sep 22, 2017",Adventure
Pikuniku,94%,"Jan 24, 2019",Indie
My Lovely Daughter,72%,"Mar 8, 2018",Indie
Insurgency: Sandstorm,,,
,,,
We Were Here,92%,"Feb 3, 2017",Free to Play
Cosmic Express,93%,"Mar 16, 2017",Indie
Late Shift,88%,"Apr 18, 2017",Choices Matter
I Expect You To Die,94%,"Apr 25, 2017",VR
Fujii,,,
Knights And Bikes,97%,"Aug 26, 2019",Action
Immortal Redneck,92%,"Apr 25, 2017",Action Roguelike
West of Loathing,97%,"Aug 10, 2017",Comedy
BIOMUTANT,,2019,Open World
Lost Words: Beyond the Page,,2020,Indie
Valfaris,94%,"Oct 10, 2019",Action
,,,
Yono and the Celestial Elephants,93%,"Oct 12, 2017",Adventure
Empire of Sin,,Spring 2020,Strategy
GreedFall,81%,"Sep 9, 2019",RPG
Psychonauts 2,,2020,Adventure
FAR: Lone Sails,92%,"May 17, 2018",Atmospheric
Minit,92%,"Apr 3, 2018",Minimalist
Wolfenstein II: The New Colossus,71%,"Oct 26, 2017",Action
Orbt XL,97%,"Apr 21, 2017",Indie
PC Building Simulator,92%,"Jan 29, 2019",Simulation
Injustice™ 2,80%,"Nov 30, 2017",Fighting
Hellpoint,,Early 2020,Souls-like
MORDHAU,82%,"Apr 29, 2019",Medieval
Risk of Rain 2,96%,"Mar 28, 2019",Early Access
Orwell: Ignorance is Strength,79%,"Feb 22, 2018",Indie
BATTLETECH,76%,"Apr 24, 2018",Mechs
The Surge 2,79%,"Sep 23, 2019",Souls-like
They Are Billions,84%,"Jun 18, 2019",Colony Sim
Quantum League,,Coming soon!,Action
Star Renegades,,2020,Indie
Return of the Obra Dinn,96%,"Oct 18, 2018",Detective
